               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 143,            0.083292,             0.17134,            0.011859,             0.38256,             0.32585,             0.28201,             0.13978,            0.091737,             0.22809,            0.021634,           0.0063347,           0.0063347,           0.0063347
                 144,            0.083327,             0.17145,            0.011845,             0.38289,             0.32542,             0.28201,             0.13953,            0.091712,              0.2281,            0.021598,            0.006293,            0.006293,            0.006293
                 145,            0.083177,             0.17013,            0.011848,             0.38172,              0.3281,             0.28242,             0.13979,             0.09168,             0.22816,            0.021559,           0.0062512,           0.0062512,           0.0062512
                 146,            0.083196,             0.17058,            0.011794,             0.38365,             0.32631,             0.28238,             0.13968,            0.091691,             0.22823,            0.021564,           0.0062093,           0.0062093,           0.0062093
                 147,            0.083081,             0.17046,            0.011763,             0.39741,             0.31713,             0.28228,             0.13966,            0.091696,             0.22822,            0.021539,           0.0061675,           0.0061675,           0.0061675
                 148,             0.08314,              0.1696,            0.011774,             0.39488,             0.31854,              0.2824,             0.13965,             0.09169,             0.22826,            0.021532,           0.0061256,           0.0061256,           0.0061256
                 149,            0.083004,             0.16969,            0.011785,              0.3962,             0.31859,             0.28266,             0.13984,            0.091692,             0.22822,            0.021494,           0.0060838,           0.0060838,           0.0060838
                 150,            0.083125,             0.17027,            0.011748,             0.39122,             0.32169,             0.28263,             0.13987,            0.091693,             0.22825,            0.021482,           0.0060419,           0.0060419,           0.0060419
                 151,              0.0831,             0.16982,            0.011751,             0.38595,              0.3258,             0.28284,                0.14,            0.091688,             0.22834,            0.021461,               0.006,               0.006,               0.006
                 152,            0.083122,             0.17051,            0.011759,              0.3858,             0.32578,             0.28295,             0.13992,            0.091681,             0.22846,             0.02148,           0.0059581,           0.0059581,           0.0059581
                 153,             0.08308,             0.16914,            0.011748,             0.39032,             0.32301,             0.28282,             0.13985,            0.091698,             0.22849,            0.021522,           0.0059162,           0.0059162,           0.0059162
                 154,            0.083023,             0.17051,            0.011759,             0.39528,             0.31961,             0.28264,              0.1398,             0.09169,             0.22847,            0.021528,           0.0058744,           0.0058744,           0.0058744
                 155,            0.083102,             0.16976,            0.011719,             0.39946,              0.3174,             0.28238,             0.13951,            0.091688,              0.2285,            0.021517,           0.0058325,           0.0058325,           0.0058325
                 156,            0.082975,              0.1705,            0.011745,             0.39481,             0.32038,             0.28258,             0.13956,             0.09171,             0.22848,            0.021529,           0.0057907,           0.0057907,           0.0057907
                 157,            0.082825,             0.16967,              0.0117,             0.38791,             0.32375,             0.28228,             0.13947,            0.091741,             0.22838,            0.021542,           0.0057488,           0.0057488,           0.0057488
